INFO | 09/04/2023 18:45:40 | settings page: P
DEBUG | 09/04/2023 18:45:40 | Login route request
INFO | 09/04/2023 18:45:40 | manageUsers page: P
DEBUG | 09/04/2023 18:45:40 | Login route request
INFO | 09/04/2023 18:45:40 | addActivity page: P
DEBUG | 09/04/2023 18:45:40 | Login route request
INFO | 09/04/2023 18:45:40 | addEvent page: P
DEBUG | 09/04/2023 18:45:41 | Login route request
INFO | 09/04/2023 18:45:41 | analysis page: P
DEBUG | 09/04/2023 18:45:41 | Register route request
DEBUG | 09/04/2023 18:45:41 | Register route request
INFO | 09/04/2023 18:45:41 | registering new user: P
DEBUG | 09/04/2023 18:45:41 | Register route request
DEBUG | 09/04/2023 18:45:42 | Register route request
INFO | 09/04/2023 18:45:42 | registering new user number 2: P
DEBUG | 09/04/2023 18:45:42 | Register route request
INFO | 09/04/2023 18:45:42 | User not registered: P
DEBUG | 09/04/2023 18:45:42 | Register route request
INFO | 09/04/2023 18:45:42 | User not registered 2: P
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:43 | Login route request
DEBUG | 09/04/2023 18:45:44 | Login route request
DEBUG | 09/04/2023 18:45:44 | Login route request
DEBUG | 09/04/2023 18:47:44 | Creating database tables
DEBUG | 09/04/2023 18:47:46 | Login route request
DEBUG | 09/04/2023 18:47:46 | Login route request
INFO | 09/04/2023 18:47:46 | Existing user logged in: P
INFO | 09/04/2023 18:47:46 | home page: P
DEBUG | 09/04/2023 18:47:46 | Login route request
INFO | 09/04/2023 18:47:46 | login page: P
DEBUG | 09/04/2023 18:47:47 | Register route request
INFO | 09/04/2023 18:47:47 | register page: P
DEBUG | 09/04/2023 18:47:47 | Login route request
INFO | 09/04/2023 18:47:47 | basket page: P
DEBUG | 09/04/2023 18:47:47 | Login route request
INFO | 09/04/2023 18:47:47 | calendar page: P
DEBUG | 09/04/2023 18:47:47 | Login route request
INFO | 09/04/2023 18:47:47 | memberships page: P
DEBUG | 09/04/2023 18:47:48 | Login route request
INFO | 09/04/2023 18:47:48 | myBookings page: P
DEBUG | 09/04/2023 18:47:48 | Login route request
INFO | 09/04/2023 18:47:48 | settings page: P
DEBUG | 09/04/2023 18:47:48 | Login route request
INFO | 09/04/2023 18:47:48 | manageUsers page: P
DEBUG | 09/04/2023 18:47:48 | Login route request
INFO | 09/04/2023 18:47:48 | addActivity page: P
DEBUG | 09/04/2023 18:47:49 | Login route request
INFO | 09/04/2023 18:47:49 | addEvent page: P
DEBUG | 09/04/2023 18:47:49 | Login route request
INFO | 09/04/2023 18:47:49 | analysis page: P
DEBUG | 09/04/2023 18:47:49 | Register route request
DEBUG | 09/04/2023 18:47:49 | Register route request
INFO | 09/04/2023 18:47:50 | registering new user: P
DEBUG | 09/04/2023 18:47:50 | Register route request
DEBUG | 09/04/2023 18:47:50 | Register route request
INFO | 09/04/2023 18:47:50 | registering new user number 2: P
DEBUG | 09/04/2023 18:47:50 | Register route request
INFO | 09/04/2023 18:47:50 | User not registered: P
